Price,Close,High,Low,Open,Volume
Ticker,META,META,META,META,META
Date,,,,,
2015-12-17,105.56920623779297,107.08983093011958,105.47975371213535,106.83142179034796,21675700
2015-12-18,103.40254974365234,105.93692139096798,103.33297893567072,105.43005161109447,35994200
2015-12-21,104.1280746459961,104.5057512525741,102.9652450137048,104.26722384707449,16138800
2015-12-22,104.8635482788086,105.01263075376285,104.16783258990532,104.57532418260362,14597100
2015-12-23,103.98892211914062,105.45985739449452,103.22364329805936,105.24120413628596,19599700
2015-12-24,104.37654113769531,104.67470607650843,103.85973050408853,104.0982579055494,6501800
2015-12-28,105.28097534179688,105.33067202870296,103.88955151757422,104.37654720212471,13069700
2015-12-29,106.60282135009766,107.0798761493943,105.59900748521405,105.76796407735455,17179900
2015-12-30,105.56920623779297,106.59289435967818,105.41018289557957,106.34442607445749,13115000
2015-12-31,104.01876068115234,105.51950357949495,103.97900484784759,105.35054697493715,18391100
2016-01-04,101.59370422363281,101.61357834823556,99.13883658078933,101.32535425427322,37912400
2016-01-05,102.10059356689453,103.07458502221562,101.04708285589457,102.25960933030082,23258200
2016-01-06,102.33911895751953,103.13421292395765,100.28180185060225,100.5103884276762,25096200
2016-01-07,97.3200454711914,100.80854193656677,96.70384904426234,99.88423971352371,45172900
2016-01-08,96.7336654663086,99.88424120487522,96.43550051920435,99.26803718609627,35402300
2016-01-11,96.91256713867188,97.99588516720756,94.80555345790853,97.31011789124136,29932400
2016-01-12,98.76117706298828,99.34755857835897,96.95232824395872,98.3934412699022,28395400
2016-01-13,94.85525512695312,99.9637624717304,94.62666096785945,99.9637624717304,33410600
2016-01-14,97.76729583740234,98.26423236839578,91.8835615476263,95.2627314749116,48658600
2016-01-15,94.38813018798828,95.78948732592441,92.9668913416275,93.4041979351693,46132800
2016-01-19,94.67634582519531,96.82310760126482,93.34455203799392,95.9385612217879,30998300
2016-01-20,93.77192687988281,94.4179459211364,88.8224430136694,92.26124308151067,59051400
2016-01-21,93.58308410644531,95.4018659100529,92.0525187963699,94.32848884678175,30518900
2016-01-22,97.33992767333984,97.46912843840015,94.90493418302229,95.81930313990514,30495400
2016-01-25,96.4156265258789,98.87049416807676,96.33611486218959,98.11514852832751,32482000
2016-01-26,96.74360656738281,97.28029896601883,95.0739069929377,97.1610390436443,26877100
2016-01-27,93.87129974365234,97.25046938554819,93.65265405790682,97.19083943331296,58699400
2016-01-28,108.44149017333984,109.66394979074474,104.16783298266903,106.54318898924082,107475300
2016-01-29,111.52250671386719,112.14864407682298,108.17315142469624,108.32223391568108,62739500
2016-02-01,114.38484954833984,115.01099444388454,111.32372621375974,111.5821277559799,46132700
2016-02-02,113.90779876708984,116.86953641521484,112.50643402972757,114.09663708613444,59778600
2016-02-03,111.99954986572266,114.63330722771654,109.07756084355685,114.56373642160065,56919300
2016-02-04,109.81302642822266,111.25414683806635,108.58062602259541,111.11500522368824,38890200
2016-02-05,103.432373046875,108.90861594218474,102.54782659591362,108.83904512860295,76894700
2016-02-08,99.13882446289062,102.05087244214916,96.86285455026582,99.79478423434652,71229700
2016-02-09,98.93011474609375,101.77259200100245,96.22677909812612,96.54481814008415,62709000
2016-02-10,100.38117980957031,102.61739421126866,99.62583415518806,100.92781302971203,45179400
2016-02-11,101.28559875488281,104.46598924913823,98.27415726428117,98.9897470211509,43670600
2016-02-12,101.3849868774414,103.60131942168904,100.47061795440884,103.10438292156994,36176800
2016-02-16,100.98744201660156,103.29322720754983,99.62583319756823,103.16402643978086,45687200
2016-02-17,104.5554428100586,105.07226104720195,99.78485667479129,101.39492617803477,44073400
2016-02-18,102.8360366821289,105.35053406498442,102.39873015201528,105.15176250546855,29593500
2016-02-19,103.92930603027344,104.37654587614738,101.43468251574504,101.92168577675857,32404500
2016-02-22,106.5034408569336,107.58675885375685,104.69458460656136,104.843667082242,35709700
2016-02-23,104.81385803222656,106.81154512098315,104.47594481204342,106.19534105855197,25319300
2016-02-24,106.22514343261719,106.29471423926037,102.11050982223608,103.57150434439228,34412400
2016-02-25,107.4078598022461,107.4078598022461,104.96293301845017,106.4537425877879,29906300
2016-02-26,107.25878143310547,108.77940603879365,106.50344334857857,108.03400122560141,26686200
2016-02-29,106.26490020751953,108.24271295317028,106.09594361597628,106.94073415634179,32779000
2016-03-01,109.14713287353516,109.14713287353516,106.94073359390637,107.16932772093561,26817300
2016-03-02,109.27633666992188,109.87266655433875,108.10356619063118,109.00799428805385,25670200
2016-03-03,108.90860748291016,109.62419727139792,107.87497863094444,109.57450058727818,21353100
2016-03-04,107.72591400146484,109.37574712955313,107.26873324591826,109.37574712955313,24938900
2016-03-07,105.08219146728516,107.40785055556555,104.07837765387363,107.40785055556555,31436400
2016-03-08,105.28097534179688,106.71215499901444,103.76035074732812,104.13801978680505,25617000
2016-03-09,106.8512954711914,106.8512954711914,104.84366763116688,106.0462531313609,20493300
2016-03-10,106.6624526977539,107.99424649370793,105.12194647654987,107.24884172525104,24854300
2016-03-11,108.73966217041016,108.74959544214514,107.25878575568039,107.81535986149602,20697600
2016-03-14,109.2166976928711,109.65400421661394,108.10355726091147,108.61043458773625,17249400
2016-03-15,109.99193572998047,110.1509590679264,108.1731461111369,108.44149609825814,17618500
2016-03-16,111.49268341064453,111.81072249577095,109.42542556599786,109.81303546403787,24744800
2016-03-17,110.33979034423828,111.99956421592114,110.0515738124363,111.46287182169826,24241200
2016-03-18,110.76715087890625,111.73120897229718,109.59438035024252,110.87647752347532,36256900
2016-03-21,111.1646957397461,111.6815139562869,110.34972016687732,110.97586502219986,18448000
2016-03-22,111.56224822998047,112.18838551256418,110.48886353185168,110.67770183503623,19001100
2016-03-23,111.85047912597656,112.49649815486161,111.3137867442559,111.3237275983572,18562000
2016-03-24,112.35736083984375,112.3971090924744,110.9957519164117,111.44299179368377,17839100
2016-03-28,112.9934310913086,113.88791078293686,112.25795956431908,112.62569532781383,21351800
2016-03-29,115.42841339111328,115.60731084027418,112.94373080979493,113.13256911242296,29825300
2016-03-30,113.99723052978516,116.27320061894382,113.65931734808481,116.01479909740212,33235200
2016-03-31,113.40090942382812,114.30533750658242,113.07292950924804,113.99723171592414,21207500
2016-04-01,115.34891510009766,115.45824175296093,112.65551977964401,113.05307055526953,24760500
2016-04-04,111.86042785644531,113.84817418826913,110.92618465403997,113.37111173226519,48487900
2016-04-05,111.53243255615234,112.62569137180229,111.21439349009692,111.42310591632241,22962400
2016-04-06,113.0133056640625,113.11269145434284,111.73120849629179,111.78090518275684,20814600
2016-04-07,112.94373321533203,114.18607453245126,112.37722587803164,113.09281568991626,20714500
2016-04-08,109.9521713256836,113.6295061112411,109.22664825514124,113.54999444846538,48497800
2016-04-11,108.32222747802734,110.23046960045458,108.103574181931,110.02174957588987,39762300
2016-04-12,109.93229675292969,110.47892995397136,108.32221971021109,108.6700737551242,26248100
2016-04-13,109.83292388916016,111.95981182276421,105.8673645626135,111.54238691975415,88227400
2016-04-14,110.16089630126953,111.353548630805,109.58445563711028,109.94225057770589,28473300
2016-04-15,108.96824645996094,110.29009950743779,108.53093986797762,110.1112020455037,20922800
2016-04-18,109.77327728271484,110.13107219366073,108.53093594822215,109.06762831464097,21167200
2016-04-19,111.60201263427734,111.76102838918777,108.49119252408796,110.41930120478374,30210500
2016-04-20,111.73120880126953,112.57599939493295,110.87647735375602,111.74114965511961,21027900
2016-04-21,112.74495697021484,113.34127926121548,111.62187561313682,111.86041059565655,20875200
2016-04-22,109.88260650634766,111.06531791099775,108.34210776500207,110.52862553197964,38458200
2016-04-25,109.42542266845703,109.99193001079539,108.40173462727103,109.19683611035806,21017900
2016-04-26,108.09363555908203,109.82297255122641,107.4873723890651,109.81303169753689,22521500
2016-04-27,108.22284698486328,108.27254367555567,105.658652431204,107.27867052291103,52213100
